Spanish,English
de,of
que,that
no,No
a,to
la,the
el,he
y,and
es,is
en,in
lo,it
un,a
por,by
qué,that
me,I
una,a
los,the
se,HE
te,tea
con,with
para,for
está,this
mi,my
si,Yeah
pero,but
sí,Yeah
bien,good
eso,that
su,his
las,the
yo,I
del,ofthe
como,as
tu,you
aquí,here
al,tothe
más,further
le,you
esto,this
todo,all
ya,already
estoy,I'm
muy,very
ahora,now
esta,this
ha,ha
vamos,comeon
algo,something
así,So
bueno,Well
hay,thereis
tengo,Ihave
él,he
cuando,when
estás,are
sé,HE
tú,you
nada,nothing
nos,us
este,this
cómo,as
o,either
he,He
ser,be
puedo,Ican
tiene,has
quiero,wanna
ella,she
hacer,do
fue,was
gracias,thankyou
era,was
vez,time
sólo,only
soy,am
todos,all
porque,because
son,are
tienes,have
creo,believe
sabes,Youknow
estaba,was
voy,go
eres,are
puede,can
ese,that
usted,you
entonces,so
hola,hello
casa,home
verdad,TRUE
tan,so
solo,only
sus,their
quién,who
dos,two
nunca,never
tiempo,time
esa,that
oh,Oh
dónde,where
va,goes
favor,favor
quieres,want
señor,Sir
siento,Ifeel
mucho,alot
mí,my
mejor,better
hace,does
decir,say
has,youhave
también,also
sobre,about
dios,God
sin,without
tenemos,have
están,are
ti,you
puedes,can
hombre,man
ver,see
vida,life
alguien,someone
siempre,always
hasta,until
cosas,things
ahí,there
años,years
ir,go
antes,before
estar,be
ni,neither
poco,bit
noche,evening
uno,one
día,day
hecho,made
mis,my
estamos,weare
otra,other
acuerdo,agreement
trabajo,job
nosotros,us
parece,seems
gente,people
mira,look
padre,father
sea,be
mismo,same
dijo,said
nadie,nobody
quiere,wants
podría,could
ellos,they
hablar,talk
vas,yougo
tal,such
fuera,out
después,after
pasa,happens
desde,from
han,theyhave
dinero,money
mundo,world
les,them
claro,clear
tener,have
estado,state
otro,other
momento,moment
había,therewas
mañana,tomorrow
tenía,had
donde,where
madre,mother
haciendo,doing
lugar,place
seguro,sure
vale,OK
sabe,knows
tus,your
espera,wait
nuevo,new
podemos,can
cosa,stuff
sido,been
hijo,son
allí,overthere
tipo,guy
menos,less
amigo,friend
gran,great
nuestro,our
mujer,women
luego,then
mamá,mother
días,days
papá,dad
dice,says
tres,three
hoy,today
buena,good
necesito,need
dije,said
gusta,like
haber,tohave
quería,wantedto
parte,part
será,be
todas,all
crees,Youbelieve
buen,good
conmigo,withme
nombre,name
estas,are
oye,hey
nuestra,our
realmente,really
mal,evil
debe,hasto
aún,still
mierda,shit
mío,mine
toda,all
cada,each
hacerlo,doit
visto,seen
importa,Itmatters
contigo,withyou
tienen,have
alguna,some
razón,reason
hemos,wehave
tanto,somuch
veces,times
saber,know
hizo,did
ven,come
serio,Serious
idea,idea
tarde,late
problema,problem
quien,who
hora,hour
eh,Hey
cierto,TRUE
amor,love
dicho,saying
demasiado,toomuch
entre,between
ve,go
pasado,past
estos,these
chica,girl
policía,police
familia,family
debería,ought
ustedes,you
esos,those
chicos,guys
cuenta,account
todavía,still
algún,some
haces,youdo
salir,goout
unos,some
amigos,friends
veo,Isee
vaya,Oh
pensé,Ithought
hermano,brother
cabeza,head
sabía,knew
cariño,dear
hombres,men
buenas,hellogood
van,go
cualquier,any
forma,shape
ah,Ah
digo,say
somos,are
debo,Imust
mientras,while
chico,boy
lado,side
pueden,theycan
caso,case
sería,Iwouldbe
primera,first
pasó,passed
hice,Idid
quizá,Maybe
genial,brilliant
adiós,bye
supuesto,supposed
muchas,many
esas,those
personas,people
durante,during
volver,return
camino,path
contra,against
señora,lady
hablando,talking
muerto,dead
pues,well
rápido,fast
historia,history
cuál,which
manera,manner
supongo,iguess
nueva,new
ayuda,aid
iba,Iwasgoing
